word,zipf
watching,5.001
system,5.001
suppose,5
evidence,4.998
movie,4.998
ride,4.998
mouth,4.996
totally,4.994
birthday,4.992
forgive,4.991
born,4.991
imagine,4.99
instead,4.989
security,4.988
film,4.988
month,4.986
lying,4.986
unless,4.985
train,4.985
seven,4.985
wear,4.985
clothes,4.985
michael,4.984
hotel,4.983
attack,4.983
hasn,4.982
round,4.979
expect,4.977
sing,4.976
terrible,4.976
george,4.975
history,4.973
blue,4.972
near,4.971
broke,4.97
station,4.97
forever,4.97
david,4.97
frank,4.969
except,4.969
thinks,4.969
message,4.968
entire,4.968
table,4.964
talked,4.964
across,4.964
rock,4.962
lovely,4.961
handle,4.96
middle,4.958
buddy,4.958
paid,4.957
protect,4.957
using,4.957
floor,4.956
swear,4.954
spend,4.954
ring,4.954
anywhere,4.953
bill,4.953
york,4.953
army,4.952
lead,4.952
bought,4.952
finished,4.951
fair,4.95
letter,4.95
fool,4.95
club,4.949
simple,4.947
space,4.947
test,4.947
group,4.945
single,4.944
sitting,4.944
marriage,4.943
join,4.943
fear,4.942
peace,4.942
forgot,4.941
force,4.938
short,4.938
normal,4.938
charlie,4.938
present,4.935
enjoy,4.935
mike,4.935
crime,4.934
horse,4.933
ground,4.932
american,4.932
count,4.932
area,4.931
charge,4.931
honor,4.931
lunch,4.93
miles,4.93
radio,4.93
idiot,4.929
ball,4.929
surprise,4.927
paper,4.927
boat,4.927
quickly,4.927
gold,4.926
fish,4.925
mark,4.925
wearing,4.924
crying,4.924
accident,4.924
eight,4.922
fell,4.922
cover,4.92
certain,4.92
deep,4.919
star,4.918
agree,4.917
problems,4.917
prison,4.916
major,4.916
stick,4.916
offer,4.915
smart,4.915
personal,4.915
record,4.915
stopped,4.913
hide,4.913
whether,4.912
bank,4.912
trip,4.911
relax,4.91
america,4.91
public,4.91
list,4.909
brain,4.908
bastard,4.907
proud,4.907
service,4.907
forward,4.905
angry,4.903
park,4.903
soul,4.902
fighting,4.902
peter,4.902
rich,4.902
agent,4.902
blow,4.901
paul,4.901
dress,4.9
mary,4.9
missed,4.9
scene,4.897
killing,4.896
standing,4.896
saved,4.895
respect,4.895
killer,4.894
mess,4.894
tough,4.893
feels,4.893
church,4.892
cell,4.89
drunk,4.889
share,4.889
camera,4.888
within,4.887
card,4.887
laugh,4.886
smell,4.885
broken,4.885
honest,4.884
often,4.882
starting,4.882
calls,4.882
spent,4.881
third,4.88
english,4.88
visit,4.879
mama,4.877
judge,4.877
window,4.876
hungry,4.876
dare,4.875
moved,4.875
prove,4.875
private,4.874
wall,4.873
seat,4.871
position,4.87
realize,4.869
machine,4.867
walking,4.867
pleasure,4.867
bloody,4.866
college,4.866
french,4.866
involved,4.864
became,4.863
lived,4.863
neither,4.862
accept,4.86
besides,4.859
queen,4.858
teacher,4.858
cops,4.858
sake,4.857
loves,4.856
carry,4.856
teach,4.856
upset,4.855
green,4.854
liked,4.854
cute,4.852
evil,4.851
contact,4.848
joke,4.848
huge,4.846
holy,4.846
store,4.846
jail,4.845
likes,4.844
lawyer,4.844
doubt,4.844
continue,4.844
shop,4.841
driving,4.84
wrote,4.84
village,4.84
quit,4.838
field,4.838
james,4.838
wine,4.837
decision,4.837
south,4.836
sleeping,4.836
slow,4.835
laughter,4.835
island,4.834
glass,4.834
cash,4.833
dying,4.832
hundred,4.831
whose,4.831
plane,4.83
push,4.83
singing,4.825
eating,4.825
north,4.825
tree,4.824
madam,4.823
gift,4.823
truck,4.822
putting,4.822
bear,4.821
board,4.821
grab,4.821
beer,4.821
stuck,4.82
magic,4.819
support,4.818
rules,4.818
grunts,4.817
partner,4.817
reach,4.817
wind,4.816
colonel,4.815
seconds,4.815
thousand,4.814
gives,4.814
cheers,4.813
victim,4.813
upon,4.812
computer,4.812
christ,4.812
planet,4.811
promised,4.811
henry,4.81
dirty,4.81
search,4.81
staying,4.808
dreams,4.808
arrest,4.806
holding,4.805
suddenly,4.804
usually,4.804
lots,4.802
shoes,4.801
jump,4.8
knock,4.799
harry,4.797
grow,4.797
worst,4.795
river,4.795
aunt,4.795
patient,4.795
kitchen,4.795
passed,4.794
final,4.793
summer,4.793
escape,4.792
moon,4.791
arms,4.791
turns,4.791
address,4.79
match,4.789
gasps,4.789
grand,4.789
nervous,4.786
choose,4.786
decide,4.785
mate,4.785
drinking,4.785
press,4.783
bother,4.783
foot,4.783
hadn,4.783
blame,4.783
crap,4.782
drugs,4.782
type,4.782
rings,4.781
mission,4.78
named,4.78
heaven,4.78
picked,4.778
paris,4.778
race,4.778
risk,4.777
books,4.776
further,4.776
danny,4.775
action,4.775
allowed,4.775
orders,4.775
learned,4.774
price,4.774
arrived,4.774
nick,4.774
pictures,4.773
smoke,4.772
favor,4.771
played,4.771
notice,4.77
awesome,4.77
smile,4.77
director,4.77
guard,4.77
begin,4.769
spot,4.768
innocent,4.767
narrator,4.766
herself,4.766
london,4.766
feelings,4.766
enemy,4.765
battle,4.765
alex,4.764
dollars,4.764
allow,4.764
nine,4.763
guilty,4.762
apart,4.761
earlier,4.761
duty,4.76
suit,4.76
bell,4.76
west,4.759
legs,4.759
hero,4.758
destroy,4.758
stage,4.758
bunch,4.758
chicken,4.757
bigger,4.756
grunting,4.756
helping,4.755
admit,4.755
closed,4.755
names,4.755
witness,4.755
upstairs,4.754
steal,4.754
jimmy,4.754
kick,4.754
twice,4.754
cross,4.754
ways,4.754
sergeant,4.753
indeed,4.753
keeping,4.751
energy,4.75
pregnant,4.75
waste,4.749
helped,4.749
fired,4.749
favorite,4.748
tony,4.748
taste,4.747
locked,4.747
places,4.747
writing,4.747
adam,4.747
brothers,4.747
starts,4.747
prince,4.746
form,4.745
sold,4.744
silly,4.744
mention,4.744
build,4.744
throat,4.744
hole,4.743
figured,4.742
track,4.742
ringing,4.741
lock,4.741
above,4.74
hiding,4.74
steve,4.74
seemed,4.74
engine,4.739
written,4.739
complete,4.738
video,4.738
applause,4.738
however,4.737
pressure,4.737
fresh,4.736
weapon,4.736
stole,4.735
study,4.735
burn,4.735
reading,4.734
crowd,4.734
treat,4.734
roll,4.734
double,4.733
spirit,4.731
danger,4.731
cost,4.73
empty,4.73
level,4.73
memory,4.729
itself,4.729
acting,4.729
interest,4.728
nose,4.727
plans,4.726
bathroom,4.726
built,4.725
closer,4.725
sarah,4.724
band,4.724
groans,4.723
excited,4.721
richard,4.721
losing,4.72
animals,4.72
flight,4.719
nature,4.719
raise,4.719
client,4.718
bomb,4.718
neck,4.718
suspect,4.718
warm,4.718
extra,4.717
bottle,4.716
heavy,4.716
mommy,4.716
dogs,4.715
wild,4.715
simply,4.715
animal,4.714
showed,4.714
billy,4.713
shooting,4.713
keeps,4.713
camp,4.713
guns,4.712
medical,4.712
shame,4.711
hoping,4.711
whom,4.711
bird,4.71
majesty,4.71
flowers,4.71
famous,4.709
asleep,4.708
beauty,4.708
driver,4.708
keys,4.707
rain,4.707
awful,4.707
large,4.706
local,4.706
deserve,4.705
goddamn,4.705
stone,4.704
jane,4.704
grace,4.704
consider,4.704
weekend,4.703
plenty,4.701
willing,4.701
pants,4.701
skin,4.7
asshole,4.7
beach,4.7
faith,4.7
fuckin,4.7
military,4.699
cheering,4.699
common,4.698
bottom,4.698
german,4.697
whoever,4.697
cook,4.697
walked,4.696
papers,4.696
justice,4.696
hall,4.694
drug,4.694
main,4.694
knife,4.693
devil,4.692
although,4.691
princess,4.691
lights,4.691
flying,4.69
dick,4.69
rose,4.689
knowing,4.689
clearly,4.688
agreed,4.687
johnny,4.687
corner,4.687
code,4.687
note,4.687
tommy,4.686
correct,4.685
language,4.685
stars,4.685
faster,4.685
cars,4.684
folks,4.683
bullshit,4.683
fellow,4.682
several,4.681
grandma,4.681
shows,4.68
leader,4.68
leaves,4.68
east,4.679
shouting,4.679
blind,4.679
ghost,4.679
gotten,4.678
tight,4.678
tells,4.676
lies,4.676
pulled,4.676
hanging,4.676
speed,4.675
stories,4.675
health,4.675
advice,4.675
held,4.675
murdered,4.673
beyond,4.673
rule,4.672
hardly,4.671
possibly,4.671
cousin,4.67
trial,4.67
ought,4.67
eddie,4.669
somehow,4.669
hearing,4.668
states,4.667
account,4.666
spoke,4.666
file,4.665
angel,4.664
tape,4.664
milk,4.664
powerful,4.663
weapons,4.662
practice,4.662
manager,4.662
pardon,4.662
vote,4.662
jake,4.662
national,4.661
career,4.661
minister,4.661
super,4.661
taught,4.66
robert,4.66
biggest,4.66
plays,4.66
natural,4.659
dancing,4.659
copy,4.659
plus,4.658
martin,4.656
cake,4.656
freedom,4.655
among,4.655
breath,4.655
chris,4.654
crew,4.654
market,4.653
meat,4.653
towards,4.653
bringing,4.653
dropped,4.652
student,4.652
lied,4.652
strength,4.652
size,4.65
breathe,4.65
color,4.65
monster,4.65
loud,4.649
photo,4.649
nearly,4.649
sight,4.649
greatest,4.648
games,4.647
bridge,4.647
dressed,4.646
arrested,4.646
horrible,4.646
coach,4.645
planning,4.644
checked,4.643
breaking,4.643
noticed,4.643
screams,4.643
serve,4.642
ideas,4.641
center,4.641
older,4.641
pack,4.64
soldiers,4.64
nonsense,4.64
project,4.64
training,4.639
example,4.638
trick,4.638
prepared,4.637
science,4.637
united,4.636
travel,4.636
grandpa,4.636
paying,4.635
teeth,4.634
criminal,4.633
charles,4.633
chinese,4.633
truly,4.632
honestly,4.632
survive,4.631
bobby,4.631
target,4.631
feed,4.631
nurse,4.631
fake,4.63
records,4.63
sweetie,4.629
numbers,4.629
suicide,4.629
belong,4.628
whoo,4.628
remain,4.627
original,4.627
papa,4.627
onto,4.626
credit,4.626
invited,4.625
discuss,4.624
research,4.624
easier,4.623
view,4.623
chair,4.623
hurts,4.622
strike,4.622
roger,4.622
fill,4.621
mountain,4.619
nowhere,4.618
sheriff,4.618
turning,4.617
brown,4.617
heads,4.616
audience,4.616
jealous,4.615
pretend,4.614
society,4.614
finding,4.614
shirt,4.614
meaning,4.613
guest,4.613
pieces,4.613
letting,4.612
began,4.612
jeff,4.611
female,4.61
release,4.609
cards,4.609
pray,4.609
balls,4.608
ended,4.608
universe,4.608
prepare,4.608
opinion,4.607
movies,4.607
soldier,4.607
wash,4.607
program,4.606
heat,4.606
usual,4.606
ticket,4.606
stolen,4.605
prefer,4.605
aware,4.605
surely,4.605
male,4.604
base,4.604
matters,4.604
lift,4.604
command,4.603
proof,4.603
cream,4.602
selling,4.602
believed,4.601
create,4.601
afford,4.601
sunday,4.6
total,4.6
dumb,4.6
threw,4.6
france,4.599
birth,4.599
created,4.598
realized,4.597
british,4.597
noise,4.597
nuts,4.597
students,4.597
birds,4.597
social,4.596
bodies,4.595
opened,4.594
ours,4.594
bucks,4.594
kevin,4.593
mister,4.592
ugly,4.592
ryan,4.591
focus,4.59
opens,4.589
exist,4.589
followed,4.589
england,4.589
draw,4.589
purpose,4.588
letters,4.588
daniel,4.587
opening,4.587
bullet,4.587
anna,4.587
lately,4.586
stayed,4.586
falling,4.585
season,4.585
ends,4.585
suggest,4.584
distance,4.584
whenever,4.583
issue,4.583
process,4.58
sword,4.58
shower,4.579
weak,4.579
fucked,4.579
lonely,4.579
eric,4.579
tiny,4.578
desk,4.578
pool,4.578
property,4.578
forced,4.578
settle,4.578
weight,4.577
received,4.577
gang,4.577
bite,4.577
friday,4.576
kinda,4.576
surgery,4.575
horses,4.574
mayor,4.574
babe,4.573
ancient,4.573
handsome,4.573
thomas,4.572
saturday,4.572
staff,4.572
lines,4.571
unit,4.571
fate,4.57
split,4.57
recently,4.568
expected,4.567
ordered,4.567
slowly,4.567
alarm,4.567
member,4.567
slept,4.566
signed,4.566
enter,4.566
spanish,4.566
garden,4.566
brings,4.565
brave,4.565
model,4.565
finger,4.565
medicine,4.565
access,4.564
failed,4.563
flat,4.563
easily,4.563
based,4.562
screw,4.562
insane,4.562
cares,4.562
weather,4.561
fingers,4.561
scott,4.56
path,4.56
soft,4.559
harm,4.558
style,4.558
sees,4.557
signal,4.556
nope,4.556
spare,4.555
speech,4.555
covered,4.555
shake,4.555
loose,4.555
snow,4.554
russian,4.554
lake,4.553
bright,4.553
roof,4.552
sending,4.552
paint,4.552
remind,4.552
naked,4.551
post,4.551
sugar,4.551
heading,4.55
streets,4.55
damage,4.55
silence,4.55
doors,4.549
pete,4.549
success,4.549
amount,4.548
members,4.548
kate,4.548
manage,4.547
safety,4.546
returned,4.546
harder,4.546
block,4.545
showing,4.545
fancy,4.545
chef,4.545
contract,4.545
chest,4.544
drinks,4.543
dave,4.543
buried,4.542
brian,4.542
trade,4.541
journey,4.541
stomach,4.54
changes,4.54
details,4.54
thoughts,4.539
divorce,4.539
funeral,4.539
maria,4.539
football,4.539
reality,4.539
theory,4.538
gosh,4.538
ruined,4.537
gate,4.537
william,4.537
spread,4.537
outta,4.537
japanese,4.537
sudden,4.536
coat,4.536
sooner,4.536
cheese,4.536
larry,4.535
spring,4.535
page,4.535
ears,4.535
simon,4.535
castle,4.534
hidden,4.534
storm,4.534
artist,4.533
hill,4.533
exciting,4.533
jerry,4.531
tickets,4.531
forest,4.531
barely,4.53
eggs,4.53
goin,4.53
regret,4.529
lesson,4.529
lover,4.529
bread,4.529
andy,4.529
subject,4.529
legal,4.528
growing,4.528
jason,4.527
mood,4.527
owner,4.527
caused,4.526
beeping,4.526
points,4.526
dating,4.526
loss,4.525
revenge,4.524
santa,4.524
likely,4.523
rent,4.522
reasons,4.522
yelling,4.522
painting,4.521
trees,4.521
doctors,4.521
rush,4.521
foreign,4.521
rough,4.521
murderer,4.521
century,4.521
nights,4.52
pair,4.519
runs,4.519
pocket,4.519
farm,4.519
matt,4.518
bike,4.518
obvious,4.518
grew,4.518
goodness,4.517
parts,4.517
alan,4.516
square,4.515
europe,4.515
genius,4.515
cases,4.514
ruin,4.514
winter,4.514
tongue,4.514
memories,4.514
buying,4.513
cancer,4.513
clock,4.512
ocean,4.512
liar,4.512
tour,4.512
thief,4.512
bleep,4.512
lisa,4.511
rights,4.511
smith,4.51
planned,4.51
emily,4.51
boring,4.509
